Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
26,Entry long,2024-02-09 12:00,Long,56.62,190,10757.8,-305.9,-2.84,210.9,1.96,-305.9,-2.84,506.6,5.07
27,Exit long,2024-02-15 09:30,Exit,56.89,188,10496.04,199.28,1.90,321.48,3.06,0,0.00,705.88,7.06
27,Entry long,2024-02-14 10:30,Long,55.83,188,10496.04,199.28,1.90,321.48,3.06,0,0.00,705.88,7.06
28,Exit long,2024-03-01 10:00,Exit,59.33,191,10690.27,641.76,6.00,641.76,6.00,-116.51,-1.09,1347.64,13.48
28,Entry long,2024-02-26 12:30,Long,55.97,191,10690.27,641.76,6.00,641.76,6.00,-116.51,-1.09,1347.64,13.48
29,Exit long,2024-03-07 09:30,Exit,53.75,181,11296.21,-1567.46,-13.88,121.27,1.07,-1567.46,-13.88,-219.82,-2.20
29,Entry long,2024-03-06 10:30,Long,62.41,181,11296.21,-1567.46,-13.88,121.27,1.07,-1567.46,-13.88,-219.82,-2.20
30,Exit long,2024-03-11 10:00,Exit,52.43,178,9757.96,-425.42,-4.36,5.34,0.05,-425.42,-4.36,-645.24,-6.45
30,Entry long,2024-03-08 15:00,Long,54.82,178,9757.96,-425.42,-4.36,5.34,0.05,-425.42,-4.36,-645.24,-6.45
31,Exit long,2024-05-23 09:45,Exit,49.11,190,9323.3,7.6,0.08,224.2,2.40,-146.3,-1.57,-637.64,-6.38
31,Entry long,2024-05-08 11:00,Long,49.07,190,9323.3,7.6,0.08,224.2,2.40,-146.3,-1.57,-637.64,-6.38
